40   20.0      0.1                 1
      5.00
 -0.258701547313E+00 -0.338921814940E+00 -0.260871212845E-02  0.165251492330E-02                      0.999561362064E+00  0.108084065099E-03
 -0.212094943744E+00 -0.286577539869E+00 -0.213235755156E-02  0.135195231017E-02                      0.999589870006E+00  0.900122877642E-04
 -0.173783841670E+00 -0.242074870930E+00 -0.175441712077E-02  0.110601918553E-02                      0.999613674493E+00  0.749556572544E-04
 -0.142320015782E+00 -0.204302941141E+00 -0.145385654175E-02  0.904872702349E-03                      0.999633681627E+00  0.624151794685E-04
 -0.116500963475E+00 -0.172290638717E+00 -0.121420203919E-02  0.740400503757E-03                      0.999650618052E+00  0.519727866227E-04
 -0.953300371015E-01 -0.145194203154E+00 -0.102254265173E-02  0.605933577474E-03                      0.999665066754E+00  0.432788046535E-04
 -0.779825557841E-01 -0.122284208607E+00 -0.868752241333E-03  0.496000377085E-03                      0.999677495705E+00  0.360411590820E-04
 -0.637771391511E-01 -0.102932703687E+00 -0.744882623308E-03  0.406118695326E-03                      0.999688280778E+00  0.300161480749E-04
 -0.521515578530E-01 -0.866009841590E-01 -0.644689979178E-03  0.332621041423E-03                      0.999697724086E+00  0.250006019524E-04
 -0.426424608478E-01 -0.728282700371E-01 -0.563265101688E-03  0.272509126635E-03                      0.999706068648E+00  0.208252522164E-04
 -0.348684090322E-01 -0.612214184132E-01 -0.496744553997E-03  0.223333249895E-03                      0.999713510124E+00  0.173491446057E-04
 -0.285157138187E-01 -0.514457101878E-01 -0.442084908323E-03  0.183092738212E-03                      0.999720206214E+00  0.144549459570E-04
 -0.233266446705E-01 -0.432166891939E-01 -0.396886182944E-03  0.150154033722E-03                      0.999726284169E+00  0.120450113652E-04
 -0.190896297378E-01 -0.362929960678E-01 -0.359253670636E-03  0.123183470474E-03                      0.999731846813E+00  0.100380948022E-04
 -0.156311278535E-01 -0.304701192460E-01 -0.327689741912E-03  0.101092214909E-03                      0.999736977362E+00  0.836660212169E-05
 -0.128088980643E-01 -0.255749764030E-01 -0.301009065072E-03  0.829912368334E-04                      0.999741743281E+00  0.697429978746E-05
 -0.105064347926E-01 -0.214612377096E-01 -0.278272130840E-03  0.681545251257E-04                      0.999746199378E+00  0.581440552960E-05
 -0.862837304347E-02 -0.180053048495E-01 -0.258733094181E-03  0.559890633925E-04                      0.999750390282E+00  0.484799843224E-05
 -0.709669928342E-02 -0.151028649597E-01 -0.241798821530E-03  0.460103374289E-04                      0.999754352430E+00  0.404269574931E-05
 -0.584763028486E-02 -0.126659453007E-01 -0.226996713521E-03  0.378223627875E-04                      0.999758115658E+00  0.337155215609E-05
 -0.482904487572E-02 -0.106204017051E-01 -0.213949404667E-03  0.311014017008E-04                      0.999761704483E+00  0.281214431364E-05
 -0.399837269056E-02 -0.890378114651E-02 -0.202354855632E-03  0.255826888622E-04                      0.999765139125E+00  0.234580969894E-05
 -0.332086015385E-02 -0.746350579287E-02 -0.191970676895E-03  0.210496097154E-04                      0.999768436333E+00  0.195701377965E-05
 -0.276814747342E-02 -0.625533246686E-02 -0.182601774820E-03  0.173248770589E-04                      0.999771610047E+00  0.163282392123E-05
 -0.231710176236E-02 -0.524204742396E-02 -0.174090608111E-03  0.142633355682E-04                      0.999774671929E+00  0.136247202574E-05
 -0.194886087647E-02 -0.439236175031E-02 -0.166309496623E-03  0.117460924139E-04                      0.999777631791E+00  0.113699092204E-05
 -0.164805044239E-02 -0.367997747259E-02 -0.159154544840E-03  0.967572816507E-05                      0.999780497940E+00  0.948912048500E-06
 -0.140214310945E-02 -0.308279869211E-02 -0.152540836565E-03  0.797238785011E-05                      0.999783277456E+00  0.792014070981E-06
 -0.120093449988E-02 -0.258226574441E-02 -0.146398631113E-03  0.657058927367E-05                      0.999785976413E+00  0.661113828980E-06
 -0.103611484079E-02 -0.216279359225E-02 -0.140670349072E-03  0.541661599017E-05                      0.999788600064E+00  0.551892458702E-06
 -0.900918990409E-03 -0.181129843309E-02 -0.135308181018E-03  0.446638699789E-05                      0.999791152982E+00  0.460750752315E-06
 -0.789840652168E-03 -0.151679889166E-02 -0.130272188090E-03  0.368371527776E-05                      0.999793639181E+00  0.384688818485E-06
 -0.698399111885E-03 -0.127008021916E-02 -0.125528791224E-03  0.303888361778E-05                      0.999796062210E+00  0.321205944876E-06
 -0.622948928118E-03 -0.106341167717E-02 -0.121049567754E-03  0.250747943470E-05                      0.999798425232E+00  0.268217257243E-06
 -0.560524730144E-03 -0.890308784396E-03 -0.116810291302E-03  0.206944109917E-05                      0.999800731084E+00  0.223984345992E-06
 -0.508714696255E-03 -0.745333382735E-03 -0.112790164404E-03  0.170827705159E-05                      0.999802982331E+00  0.187057509541E-06
 -0.465557450295E-03 -0.623925567096E-03 -0.108971203996E-03  0.141042614176E-05                      0.999805181307E+00  0.156227661117E-06
 -0.429458071086E-03 -0.522262447497E-03 -0.105337748224E-03  0.116473344150E-05                      0.999807330150E+00  0.130486275502E-06
 -0.399119694106E-03 -0.437139495848E-03 -0.101876059698E-03  0.962020514994E-06                      0.999809430826E+00  0.108992026192E-06
 -0.373487828095E-03 -0.365870894144E-03 -0.985740054713E-04  0.794732989240E-06                      0.999811485159E+00  0.910429909818E-07
 -0.351705036227E-03 -0.306205863022E-03 -0.954207981601E-04  0.656651409851E-06                      0.999813494842E+00  0.760534929420E-07
 -0.333074062819E-03 -0.256258425135E-03 -0.924067858478E-04  0.542653930162E-06                      0.999815461460E+00  0.635348008101E-07
 -0.317027839502E-03 -0.214448459498E-03 -0.895232809742E-04  0.448521471082E-06                      0.999817386499E+00  0.530790432528E-07
 -0.303105093318E-03 -0.179452242149E-03 -0.867624204400E-04  0.370777694331E-06                      0.999819271356E+00  0.443457999028E-07
 -0.290930515028E-03 -0.150160954656E-03 -0.841170507483E-04  0.306557523481E-06                      0.999821117353E+00  0.370509221973E-07
 -0.280198638545E-03 -0.125645883271E-03 -0.815806332718E-04  0.253499083860E-06                      0.999822925741E+00  0.309572119845E-07
 -0.270660739629E-03 -0.105129234868E-03 -0.791471657371E-04  0.209654861095E-06                      0.999824697706E+00  0.258666481790E-07
 -0.262114190358E-03 -0.879596671164E-04 -0.768111168080E-04  0.173418637102E-06                      0.999826434377E+00  0.216139035792E-07
 -0.254393810499E-03 -0.735917744698E-04 -0.745673712812E-04  0.143465383170E-06                      0.999828136830E+00  0.180609370764E-07
 -0.247364842301E-03 -0.615688929387E-04 -0.724111839069E-04  0.118701797575E-06                      0.999829806094E+00  0.150924823677E-07
 -0.240917244780E-03 -0.515086886612E-04 -0.703381402399E-04  0.982255909134E-07                      0.999831443148E+00  0.126122841419E-07
 -0.234961060224E-03 -0.430910811175E-04 -0.683441232482E-04  0.812919626392E-07                      0.999833048935E+00  0.105399575637E-07
 -0.229422651829E-03 -0.360481239819E-04 -0.664252846497E-04  0.672859911833E-07                      0.999834624354E+00  0.880836757677E-08
